Theta[deg],Phi[deg],dB(RealizedGainLHCP)
0,0,-7.91829
10,0,-5.87028
20,0,-5.36802
30,0,-5.95614
40,0,-7.31008
50,0,-9.02457
60,0,-10.5762
70,0,-11.6919
80,0,-12.6618
90,0,-13.9626
100,0,-15.9619
110,0,-18.9042
120,0,-20.1
130,0,-14.8311
140,0,-9.51757
150,0,-5.58827
160,0,-2.76755
170,0,-0.834823
180,0,0.358597
190,0,0.928131
200,0,0.98091
210,0,0.635397
220,0,0.0382937
230,0,-0.622163
240,0,-1.12023
250,0,-1.25958
260,0,-1.00823
270,0,-0.547048
280,0,-0.150207
290,0,-0.0673203
300,0,-0.509745
310,0,-1.70081
320,0,-3.96873
330,0,-7.92897
340,0,-13.9032
350,0,-12.2654
360,0,-7.91829
0,10,-7.91829
10,10,-5.84161
20,10,-5.26818
30,10,-5.77543
40,10,-7.10151
50,10,-9.01263
60,10,-11.2271
70,10,-13.4015
80,10,-15.2787
90,10,-16.9918
100,10,-19.3141
110,10,-23.9294
120,10,-23.1862
130,10,-14.5545
140,10,-8.98762
150,10,-5.18262
160,10,-2.52755
170,10,-0.739594
180,10,0.358597
190,10,0.913349
200,10,1.06863
210,10,0.971893
220,10,0.761634
230,10,0.549518
240,10,0.41413
250,10,0.400631
260,10,0.507256
270,10,0.667011
280,10,0.751334
290,10,0.593086
300,10,0.000684841
310,10,-1.25625
320,10,-3.50475
330,10,-7.29443
340,10,-12.8034
350,10,-12.0262
360,10,-7.9183
0,20,-7.91829
10,20,-5.87831
20,20,-5.27775
30,20,-5.73358
40,20,-6.98517
50,20,-8.78455
60,20,-10.8407
70,20,-12.8827
80,20,-14.868
90,20,-17.1619
100,20,-20.9174
110,20,-33.2397
120,20,-22.0661
130,20,-13.228
140,20,-8.12879
150,20,-4.6494
160,20,-2.23132
170,20,-0.620424
180,20,0.358597
190,20,0.871807
200,20,1.09548
210,20,1.19639
220,20,1.28477
230,20,1.38848
240,20,1.48156
250,20,1.53252
260,20,1.52597
270,20,1.4503
280,20,1.26819
290,20,0.889618
300,20,0.159259
310,20,-1.14961
320,20,-3.36269
330,20,-6.97004
340,20,-11.9481
350,20,-11.6583
360,20,-7.9183
0,30,-7.91829
10,30,-5.98475
20,30,-5.41316
30,30,-5.87027
40,30,-7.05745
50,30,-8.61003
60,30,-10.1487
70,30,-11.6144
80,30,-13.4296
90,30,-16.2557
100,30,-20.9153
110,30,-23.256
120,30,-16.422
130,30,-10.9496
140,30,-6.96001
150,30,-4.00782
160,30,-1.89354
170,30,-0.483406
180,30,0.358597
190,30,0.800605
200,30,1.04321
210,30,1.26732
220,30,1.54944
230,30,1.84156
240,30,2.04695
250,30,2.09903
260,30,1.98444
270,30,1.72484
280,30,1.33815
290,30,0.791452
300,30,-0.0350177
310,30,-1.35917
320,30,-3.50199
330,30,-6.88959
340,30,-11.2738
350,30,-11.2074
360,30,-7.91829
0,40,-7.91829
10,40,-6.16442
20,40,-5.68968
30,40,-6.22886
40,40,-7.44002
50,40,-8.82335
60,40,-9.9733
70,40,-11.1101
80,40,-12.8837
90,40,-15.6953
100,40,-17.9165
110,40,-15.5821
120,40,-11.8116
130,40,-8.50064
140,40,-5.65568
150,40,-3.31006
160,40,-1.53398
170,40,-0.335078
180,40,0.358597
190,40,0.69847
200,40,0.899142
210,40,1.15635
220,40,1.52128
230,40,1.88581
240,40,2.10534
250,40,2.09923
260,40,1.86607
270,40,1.45543
280,40,0.923541
290,40,0.276701
300,40,-0.580351
310,40,-1.86097
320,40,-3.87982
330,40,-6.98859
340,40,-10.7191
350,40,-10.7117
360,40,-7.91829
0,50,-7.91829
10,50,-6.4196
20,50,-6.12082
30,50,-6.8534
40,50,-8.26488
50,50,-9.72102
60,50,-10.7505
70,50,-11.7664
80,50,-13.3985
90,50,-15.0339
100,50,-14.0533
110,50,-11.2136
120,50,-8.62112
130,50,-6.43107
140,50,-4.42954
150,50,-2.62714
160,50,-1.17571
170,50,-0.182025
180,50,0.358596
190,50,0.566246
200,50,0.657976
210,50,0.8495
220,50,1.1869
230,50,1.52132
240,50,1.67254
250,50,1.55377
260,50,1.18143
270,50,0.636427
280,50,0.0110051
290,50,-0.660021
300,50,-1.46405
310,50,-2.62374
320,50,-4.44902
330,50,-7.20388
340,50,-10.2352
350,50,-10.1996
360,50,-7.91829
0,60,-7.91829
10,60,-6.7512
20,60,-6.71807
30,60,-7.78485
40,60,-9.67399
50,60,-11.6327
60,60,-12.8842
70,60,-13.8586
80,60,-14.8671
90,60,-14.1441
100,60,-11.3532
110,60,-8.62515
120,60,-6.55957
130,60,-4.92333
140,60,-3.43235
150,60,-2.02545
160,60,-0.841211
170,60,-0.0303796
180,60,0.358596
190,60,0.407171
200,60,0.322831
210,60,0.347613
220,60,0.552299
230,60,0.770487
240,60,0.79011
250,60,0.515575
260,60,-0.0174791
270,60,-0.68936
280,60,-1.3641
290,60,-1.9824
300,60,-2.64357
310,60,-3.59907
320,60,-5.15535
330,60,-7.47566
340,60,-9.7889
350,60,-9.69018
360,60,-7.91829
0,70,-7.91829
10,70,-7.15848
20,70,-7.49142
